name,id,tier,rarity,base value,range,damage/second,damage/shot,emp,impact,turn rate,OPs,ammo,ammo/sec,reload size,type,energy/shot,energy/second,chargeup,chargedown,burst size,burst delay,min spread,max spread,spread/shot,spread decay/sec,beam speed,proj speed,launch speed,flight time,proj hitpoints,hints,tags,groupTag,tech/manufacturer,for weapon tooltip>>,primaryRoleStr,speedStr,trackingStr,turnRateStr,accuracyStr,customPrimary,customPrimaryHL,customAncillary,customAncillaryHL,noDPSInTooltip,number
Amazoch KE/MIRV Rack (L),uaf_amazoch_l_rack,3,,8500,1500,,1500,,200,50,22,16,0.04,2,KINETIC,200,,0,18,4,0.4,1,5,2,0,,450,6,9,250,STRIKE,"strike5, missile5, uaf_missile_bp, uaf_standard_rare_bp",,United Aurora Federation,,Cluster Missile (KE),,Torpedo,,,"Guided torpedo with limited turn rate, suitable against shielded targets.",shielded targets,,,TRUE,12.5
Amazoch MIRV,uaf_amazoch_s_asrm_single_sub,5,,900,1500,,500,,200,50,3,4,0.025,1,KINETIC,150,,0,12,1,,0,0,0,0,,600,12,6,150,"SYSTEM, STRIKE","no_drop, no_drop_salvage, restricted",,United Aurora Federation,,Kinetic Warhead,,Torpedo,,,,,,,TRUE,12.5
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Override System,uaf_overridesystem,,,,1,1,,,,,,,,,,,,,10,,,,,,,,,,,,SYSTEM,"no_drop, no_drop_salvage, restricted",,United Aurora Federation,,System,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Anti-Phase Mine,uaf_anti_phase_mine,,,,1000,,350,100,,,,35,0,,ENERGY,0,0,0,2,5,1,60,60,0,0,,0,0,25,650,SYSTEM,"no_drop, no_drop_salvage, restricted",SYSTEM,United Aurora Federation,,System,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Flare,uaf_shipflare,,,,1000,,20,100,,,,,0,,ENERGY,0,0,0,0.1,20,0.1,60,60,0,0,,150,300,3,1,SYSTEM,"no_drop, no_drop_salvage, restricted",SYSTEM,United Aurora Federation,,System,,,,,,,,,,
Fighter Flare,uaf_fighterflare,,,,1000,,7,100,,,,,0,,ENERGY,0,0,0,0.1,7,0.1,60,60,0,0,,150,300,3,1,SYSTEM,"no_drop, no_drop_salvage, restricted",SYSTEM,United Aurora Federation,,System,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#Crescendo,uaf_crescendo,,,,1,1,,,,,,,,,,,,1,2,,,,,,,,,,,,SYSTEM,"no_drop, no_drop_salvage, restricted",,United Aurora Federation,,System,,,,,,,,,,
#Swan song,uaf_songAttack,,,,1,1,,,,,,,,,,,,1,44,,,,,,,,,,,,SYSTEM,"no_drop, no_drop_salvage, restricted",,United Aurora Federation,,System,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#FIGHTER WEAPONS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#FIGHTER WEAPONS,,,,,,,,,,,,,,,
Decorative MG,uaf_decor_mg,1,5,200,1000,,5,,1,75,0,50,2.75,5,FRAGMENTATION,2,,0,2,25,0.05,0,10,0.2,10,,700,,,10,"SYSTEM, PD","pd15, SR, remnant, no_drop, no_drop_salvage",,United Aurora Federation,,Point Defense (Suppression),,,,,,,,,,1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30mm MG Class I,uaf_fw_30mm_class_i,0,,1200,500,,20,15,1,1,0,350,,,FRAGMENTATION,5,,,0.65,6,0.05,5,20,0.3,3,,700,,,60,"SYSTEM, PD, GROUP_ALTERNATING","energy8, no_drop, no_drop, no_drop_salvage",,United Aurora Federation,,Point Defense (Suppression),,,,,Suitable against fighters and missiles.,fighters | missiles,,,,
30mm MG Class II,uaf_fw_30mm_class_ii,1,,1500,500,,25,55,5,1,0,350,,,FRAGMENTATION,5,,,0.65,6,0.05,5,20,0.3,3,,700,,,60,"SYSTEM, PD, GROUP_ALTERNATING","kinetic1, SR, no_drop, no_drop_salvage",,United Aurora Federation,,Point Defense (Suppression),,,,,Suitable against fighters and missiles.,fighters | missiles,,,,
30mm MG Class III,uaf_fw_30mm_class_iii,2,1,6655,750,,20,25,20,100,0,850,,,FRAGMENTATION,6.5,,,,10,0.01,2,25,0.25,3,,700,,,50,"SYSTEM, PD, GROUP_ALTERNATING","utility10, pd1, no_drop, no_drop_salvage",,United Aurora Federation,,Point Defense (Suppression),,,,,"Rapid fire, effective against fighters and missiles.",fighters | missiles,,,TRUE,4.5
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40mm CN Class I,uaf_fw_40mm_class_i,1,,1500,500,,25,5,1,1,0,350,,,KINETIC,8,,,0.4,5,0.1,5,20,1,15,,700,,,75,"SYSTEM, PD, GROUP_ALTERNATING","kinetic2, SR, no_drop, no_drop_salvage",,United Aurora Federation,,Anti Armor Autocannon,,,,,Suitable against fighters and ships.,fighters | ships,,,,
40mm CN Class II,uaf_fw_40mm_class_ii,1,,1500,500,,30,5,1,1,0,350,,,KINETIC,8,,,0.8,10,0.075,5,20,1,15,,700,,,75,"SYSTEM, PD, GROUP_ALTERNATING","kinetic2, SR, no_drop, no_drop_salvage",,United Aurora Federation,,Anti Armor Autocannon,,,,,Suitable against fighters and ships.,fighters | ships,,,,
40mm KE Class III,uaf_fw_40mm_class_iii,0,0,2400,750,,100,,30,45,0,200,,,KINETIC,100,,0,1.85,4,0.15,0,30,5,2.5,,750,,,300,"SYSTEM, PD, GROUP_ALTERNATING","kinetic3, SR, no_drop, no_drop_salvage",,United Aurora Federation,,Anti Shield Autocannon,,,,,Rapid fire but at cost of wider weapon recoil and spread. Suitable against shielded targets.,shielded targets,,,,1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56mm CN Class I,uaf_fw_56mm_class_i,0,,450,700,,75,10,3,45,0,50,,,HIGH_EXPLOSIVE,75,,0.5,2.5,,,0,20,3,5,,700,,,20,SYSTEM,"kinetic2, SR, no_drop, no_drop_salvage",,United Aurora Federation,,General Purpose (Suppression),,,,,Suitable against shielded targets.,shielded targets,,,,2
56mm CN Class II,uaf_fw_56mm_class_ii,0,,450,700,,125,10,5,45,0,50,,,HIGH_EXPLOSIVE,125,,0.5,2.5,,,0,20,3,5,,700,,,20,SYSTEM,"kinetic2, SR, no_drop, no_drop_salvage",,United Aurora Federation,,General Purpose (Anti-Shield),,,,,Suitable against shielded targets.,shielded targets,,,,2
57mm CN Class III,uaf_fw_57mm_class_iii,0,0,450,750,,150,50,30,20,0,40,,,KINETIC,100,,0,1,2,0.25,0,10,0.5,1,,700,,,300,SYSTEM,"kinetic2, SR, no_drop, no_drop_salvage",,United Aurora Federation,,General Purpose (Anti-Shield),,,,,"Has long range and good accuracy, at cost of slow rate of fire. Suitable against shielded targets.",shielded targets,,,,1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Penulisa 40 AS/RF,uaf_fw_penulisa_class_i,2,2,6655,700,,45,,20,100,0,,,,HIGH_EXPLOSIVE,22,,0.075,,,,0,20,0.2,1,,900,,,50,"SYSTEM, STRIKE, PD",he19,,United Aurora Federation,,Anti Armor (Suppression),,,,,"Rapid firing rotary anti-ship cannon, perfect against %s. Deals additional %s damage when hitting exposed hull.",armored ships | 20 fragmentation,,,,4.5
125mm AA Class I,uaf_fw_125mm_class_i,0,0,1550,600,,200,,10,35,0,,,,FRAGMENTATION,60,,0,1.5,3,0.25,5,15,1.5,5,,650,,,20,"SYSTEM, PD","pd9, no_drop, no_drop_salvage",,United Aurora Federation,,Point Defense (Area),,,,,"Flak cannon that causes few micro explosions around the first detonation point, dealing minor %s damage. More effective when used against %s than ships and in %s.",fragmentation | missiles | concentrated defensive fire,,,,2
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
155mm CN Class I,uaf_fw_155mm_class_i,0,,1250,750,,150,,200,5,0,20,,,HIGH_EXPLOSIVE,350,,0,4,2,0.25,0,5,5,1,,650,,,400,"SYSTEM, USE_VS_FRIGATES","he2, SR, no_drop, no_drop_salvage",,United Aurora Federation,,Anti Armor,,,,,,,,,,
155mm CN Class II,uaf_fw_155mm_class_ii,0,,1250,750,,200,,200,5,0,25,,,HIGH_EXPLOSIVE,200,,0,4.5,,,2,10,5,1,,650,,,400,"SYSTEM, USE_VS_FRIGATES","he2, SR, no_drop, no_drop_salvage",,United Aurora Federation,,Anti Armor,,,,,,,,,,
155mm CN Class III,uaf_fw_155mm_class_iii,0,0,450,750,,100,50,30,50,0,80,,,HIGH_EXPLOSIVE,100,,0,0.5,0,0,3,15,0.5,1,,650,,,300,"SYSTEM, USE_VS_FRIGATES","kinetic2, SR, no_drop, no_drop_salvage",,United Aurora Federation,,General Purpose (Anti-Shield),,,,,"Has long range and good accuracy, at cost of slow rate of fire. Suitable against shielded targets.",shielded targets,,,,1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HVAR Class I,uaf_fw_hvar_class_i,2,,1200,900,,200,,5,30,0,8,,,HIGH_EXPLOSIVE,0,,,4,1,0.2,0,0,0,0,,420,350,3.75,50,"SYSTEM, STRIKE, USE_VS_FRIGATES, GROUP_ALTERNATING, SYSTEM","rocket13, strike8, no_drop, no_drop_salvage",,United Aurora Federation,,Anti Ship Rocket,,,,Low,"Single launch dumb-fire rocket, suitable against armored targets and exposed hull.",armored targets | exposed hull,,,,
HVAR Class IR,uaf_fw_hvar_class_ir,2,,1500,1100,,75,,5,30,0,6,,,HIGH_EXPLOSIVE,0,,,0.25,,,20,60,10,3,,420,35,3.75,55,"SYSTEM, STRIKE, USE_VS_FRIGATES, DO_NOT_CONSERVE, GROUP_ALTERNATING, SYSTEM","rocket13, strike8, no_drop, no_drop_salvage",,United Aurora Federation,,Anti Armor Rocket,,,,Low,"Single launch dumb-fire rocket, suitable against armored targets and exposed hull.",armored targets | exposed hull,,,,
HVAR Class IAP,uaf_fw_hvar_class_iap,2,,1500,1100,,85,,5,30,0,6,,,KINETIC,0,,,0.25,,,20,60,10,3,,420,35,3.75,55,"SYSTEM, STRIKE, USE_VS_FRIGATES, DO_NOT_CONSERVE, GROUP_ALTERNATING, SYSTEM","rocket13, strike8, no_drop, no_drop_salvage",,United Aurora Federation,,Anti Shield Rocket,,,,Low,"Wing-based rocket system that fires on salvo, suitable against shield.",salvo | shield,,,,
HVAR Class II,uaf_fw_hvar_class_ii,3,,1500,900,,255,,5,30,0,12,,,HIGH_EXPLOSIVE,0,,,2,2,0.3,0,0,0,0,,420,350,3.75,50,"SYSTEM, STRIKE, USE_VS_FRIGATES, GROUP_ALTERNATING, SYSTEM","rocket13, strike8, no_drop, no_drop_salvage",,United Aurora Federation,,Anti Ship Rocket,,,,Low,"Single launch dumb-fire rocket, suitable against armored targets and exposed hull.",armored targets | exposed hull,,,,
HVDU-R Rocket Pod,uaf_hvar_class_nk,3,,1500,1500,,450,100,10,10,0,40,0.15,5,HIGH_EXPLOSIVE,0,,0,10,10,0.1,50,50,10,0,,420,500,6,150,"SYSTEM, DO_NOT_AIM, CONSERVE_3, STRIKE, USE_VS_FRIGATES, MISSILE_SPREAD","rocket13, strike8, no_drop, no_drop_salvage",,United Aurora Federation,,Anti Ship Rocket,,,,,"High velocity rocket armed with depleted uranium warhead, fires in salvo.",salvo | armor,,,,
VASM Class I,uaf_fw_vasm_class_i,1,,650,1000,,100,,15,50,5,24,,,HIGH_EXPLOSIVE,0,,0,10,6,0.2,10,50,5,0,,400,50,5,75,"SYSTEM, ANTI_FTR, USE_VS_FRIGATES, DO_NOT_AIM, DO_NOT_CONSERVE","utility4, missile4, no_drop, no_drop_salvage",,United Aurora Federation,,Suppression Missile,Fast,Excellent,,,Effective against fighters and small-to-medium ships.,fighters | small-to-medium,,,,10
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AMSSM Class I,uaf_fw_amssm_class_i,2,,1800,1000,,150,50,3,50,0,4,,,FRAGMENTATION,0,,,8,,,0,0,0,0,,530,-50,6,85,"SYSTEM, PD, ANTI_FTR, GROUP_ALTERNATING, CONSERVE_2","utility8, missile0, no_drop, no_drop_salvage",,United Aurora Federation,,PD Missile,Fast,Good,,,"Defensive shaped-charge missiles that detonate in a cone upon impact, dealing minor additional kinetic damage to fighters and enemy projectiles.",kinetic damage | cone in front of it,,,,
AMSSM Class II,uaf_fw_amssm_class_ii,3,,2000,1000,,150,50,3,50,0,6,,,FRAGMENTATION,0,,,8,,,0,0,0,0,,530,-50,6,85,"SYSTEM, PD, ANTI_FTR, GROUP_ALTERNATING, CONSERVE_2","utility8, missile0, no_drop, no_drop_salvage",,United Aurora Federation,,PD Missile,Fast,Good,,,"Defensive shaped-charge missiles that detonate in a cone upon impact, dealing minor additional kinetic damage to fighters and enemy projectiles.",kinetic damage | cone in front of it,,,,
AMSSM Class III,uaf_fw_amssm_class_iii,3,,2000,1000,,270,50,3,50,0,8,,,FRAGMENTATION,0,,,8,,,0,0,0,0,,530,-50,6,85,"SYSTEM, PD, ANTI_FTR, SYSTEM, PD, ANTI_FTR, GROUP_ALTERNATING, CONSERVE_4","utility8, missile0, no_drop, no_drop_salvage",,United Aurora Federation,,PD Missile,Fast,Good,,,"Defensive shaped-charge missiles that detonate in a cone upon impact, dealing minor additional kinetic damage to fighters and enemy projectiles.",kinetic damage | cone in front of it,,,,
AMSSMX Class IV,uaf_fw_amssmx_class_iv,4,4,3500,2000,,420,300,75,50,0,4,,,FRAGMENTATION,20,,0,25,,,0,0,0,0,,530,-40,6,150,"SYSTEM, PD, ANTI_FTR, SYSTEM, PD, ANTI_FTR, GROUP_ALTERNATING, CONSERVE_4","utility8, missile0, no_drop, no_drop_salvage",,United Aurora Federation,,Interceptor (AOE / WMD ),Fast,Good,,,"Defensive shaped-charge missiles that detonate in a cone upon impact, dealing minor additional kinetic damage to fighters and enemy projectiles.",kinetic damage | cone in front of it,,,,
AMSSMX Class V,uaf_fw_amssmx_class_v,4,4,3500,2000,,420,300,75,50,0,2,,,FRAGMENTATION,20,,0,35,,,0,0,0,0,,530,-40,6,150,"SYSTEM, PD, ANTI_FTR, SYSTEM, PD, ANTI_FTR, GROUP_ALTERNATING, CONSERVE_1","utility8, missile0, no_drop, no_drop_salvage",,United Aurora Federation,,Interceptor (AOE / WMD ),Fast,Good,,,"Defensive shaped-charge missiles that detonate in a cone upon impact, dealing minor additional kinetic damage to fighters and enemy projectiles.",kinetic damage | cone in front of it,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ASMR Class I,uaf_fw_asmr_class_i,1,,800,1300,,300,,75,30,0,4,,,HIGH_EXPLOSIVE,0,,,16,1,,0,0,0,,,320,30,5,150,"SYSTEM, STRIKE, DO_NOT_AIM, USE_VS_FRIGATES, GROUP_ALTERNATING","missile1, strike3, no_drop, no_drop_salvage",,United Aurora Federation,,Anti Ship Missile,Medium,Medium,,,Suitable against fighters and ships.,fighters | ships,,,,10
ASMR Class I/A,uaf_fw_asmr_class_ia,1,,800,2000,,350,,75,30,0,12,0.08,2,HIGH_EXPLOSIVE,0,,,16,1,,0,0,0,,,320,30,5,150,"SYSTEM, STRIKE, DO_NOT_AIM, USE_VS_FRIGATES, GROUP_ALTERNATING","missile1, strike3, no_drop, no_drop_salvage",,United Aurora Federation,,Anti Ship Missile,Medium,Medium,,,Suitable against fighters and ships.,fighters | ships,,,,10
ASMR Class II,uaf_fw_asmr_class_ii,1,,800,2000,,2000,,75,30,0,12,0.08,2,FRAGMENTATION,0,,,6,2,0.4,0,0,0,,,270,-100,12,300,"SYSTEM, STRIKE, DO_NOT_AIM, USE_VS_FRIGATES, GROUP_ALTERNATING","missile1, strike3, no_drop, no_drop_salvage",,United Aurora Federation,,Anti Ship Missile,Medium,Medium,,,Suitable against ships and armored targets.,ships | armored targets,,,,10
KCMR Class I,uaf_fw_oboe_class_i,2,1,5000,2300,,700,,75,2,0,2,,,KINETIC,0,,,12,1,,,,,,,300,120,8,250,"SYSTEM, STRIKE, DO_NOT_AIM, CONSERVE_3,   CONSERVE_FOR_ANTI_ARMOR, GROUP_ALTERNATING, MISSILE_SPREAD, USE_VS_FRIGATES","missile8, strike8, kinetic8",DO_NOT_AIM,United Aurora Federation,,Cluster Missile (KE),Fast,Good,,,,,,,,
HCMR Class I,uaf_fw_clarinet_class_i,2,1,5000,3500,,700,,75,2,0,4,,,HIGH_EXPLOSIVE,0,,,18,1,,,,,,,300,120,8,250,"SYSTEM, STRIKE, DO_NOT_AIM, CONSERVE_3,   CONSERVE_FOR_ANTI_ARMOR, GROUP_ALTERNATING, MISSILE_SPREAD, USE_VS_FRIGATES","missile8, strike8, he8",DO_NOT_AIM,United Aurora Federation,,Cluster Missile (HE),Fast,Good,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Exoscar Class I,uaf_fw_exoscar_class_i,3,,800,1550,,1500,100,25,5,0,1,,,HIGH_EXPLOSIVE,350,,,,1,,0,0,0,,,500,-75,6,550,"SYSTEM, STRIKE, DO_NOT_CONSERVE, GROUP_ALTERNATING, DO_NOT_AIM","strike8, rocket3, no_drop, no_drop_salvage",,United Aurora Federation,,Guided Torpedo,Fast,None,,,"Guided torpedoes, suitable against armored targets and exposed hull.",armored targets | exposed hull,,,TRUE,9
Exoscar Class I/X,uaf_fw_exoscar_class_ix,3,,800,1550,,850,100,25,5,0,1,,,ENERGY,250,,,,1,,0,0,0,,,500,-75,6,550,"SYSTEM, STRIKE, DO_NOT_CONSERVE, GROUP_ALTERNATING, DO_NOT_AIM","strike8, rocket3, no_drop, no_drop_salvage",,United Aurora Federation,,Guided Torpedo,Fast,None,,,"Guided torpedoes, suitable against armored targets and exposed hull.",armored targets | exposed hull,,,TRUE,9
Exoscar Class II,uaf_fw_exoscar_class_ii,4,,800,1550,,1800,100,25,5,0,2,,,HIGH_EXPLOSIVE,350,,,1.5,1,,0,0,0,,,500,-75,6,650,"SYSTEM, STRIKE, DO_NOT_CONSERVE, GROUP_ALTERNATING, DO_NOT_AIM","strike8, rocket3, no_drop, no_drop_salvage",,United Aurora Federation,,Guided Torpedo,Fast,None,,,"Guided torpedoes, suitable against armored targets and exposed hull.",armored targets | exposed hull,,,TRUE,9
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USB Class I,uaf_fw_usb_class_i,1,,450,1800,,200,,30,1,0,5,,,HIGH_EXPLOSIVE,0,,0,0.65,0,0,20,100,15,2,,90,80,15,180,"STRIKE, BOMB, GROUP_ALTERNATING, SYSTEM","he0, no_drop, no_drop_salvage",,United Aurora Federation,,Suppression,,,,,Unguided bombs that are designed to saturate a large area. Perfect against slow and big targets.,area denial | slow | big,,,TRUE,3.5
USB Class II,uaf_fw_usb_class_ii,2,,600,1800,,450,,65,1,0,4,,,HIGH_EXPLOSIVE,0,,0,0.65,0,0,20,80,15,2,,85,50,15,220,"STRIKE, BOMB, GROUP_ALTERNATING, SYSTEM","he0, no_drop, no_drop_salvage",,United Aurora Federation,,Suppression,,,,,Unguided bombs that are designed to saturate a large area. Perfect against slow and big targets.,area denial | slow | big,,,TRUE,3.5
USB Class III,uaf_fw_usb_class_iii,3,,750,1800,,1150,,90,1,0,2,,,HIGH_EXPLOSIVE,0,,0,0.65,0,0,20,60,15,2,,80,30,15,350,"STRIKE, BOMB, GROUP_ALTERNATING, SYSTEM","he0, no_drop, no_drop_salvage",,United Aurora Federation,,Suppression,,,,,Unguided bombs that are designed to saturate a large area. Perfect against slow and big targets.,area denial | slow | big,,,TRUE,3.5
USB Class IV(N),uaf_fw_usb_class_iv_n,3,,750,1800,,1500,,90,1,0,1,,,HIGH_EXPLOSIVE,0,,0,0,0,0,10,60,5,2,,450,30,15,580,"STRIKE, BOMB, GROUP_ALTERNATING, SYSTEM","he0, no_drop, no_drop_salvage",,United Aurora Federation,,Tactical Nuclear Bomb (WMD),,,,,"Unguided low-yield nuclear bomb, designed to deal tremendous amount of damage upon impact over a sizable area of effect.",tremendous amount of damage | sizable area of effect,,,TRUE,3.5
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GSB Class III,uaf_fw_gsb_class_iii,1,,750,2200,,800,,90,1,0,2,,,KINETIC,0,,0,0.3,2,3,40,180,15,,,200,80,20,200,"STRIKE, BOMB, GROUP_ALTERNATING, SYSTEM","kinetic0, no_drop, no_drop_salvage",,United Aurora Federation,,Suppression (Shield),,Poor,Poor,,Guided bombs designed to overwhelm the enemy shield with limited glide capability. Perfect against slow and big targets.,glide | slow | big,,,TRUE,3.5
GSB Class II,uaf_fw_gsb_class_ii,1,,750,2200,,550,,65,1,0,2,,,KINETIC,0,,0,0.25,3,1.5,40,180,20,,,200,80,20,200,"STRIKE, BOMB, GROUP_ALTERNATING, SYSTEM","kinetic0, no_drop, no_drop_salvage",,United Aurora Federation,,Suppression (Shield),,Poor,Poor,,Guided bombs designed to overwhelm the enemy shield with limited glide capability. Perfect against slow and big targets.,glide | slow | big,,,TRUE,3.5
GSB Class I,uaf_fw_gsb_class_i,1,,750,2200,,300,,30,1,0,2,,,KINETIC,0,,0,0.1,3,1.5,40,180,30,,,200,80,20,200,"STRIKE, BOMB, GROUP_ALTERNATING, SYSTEM","kinetic0, no_drop, no_drop_salvage",,United Aurora Federation,,Suppression (Shield),,Poor,Poor,,Guided bombs designed to overwhelm the enemy shield with limited glide capability. Perfect against slow and big targets.,glide | slow | big,,,TRUE,3.5
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#NEW for Rafflesya,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#AWP Class I,uaf_fw_awp_class_i,3,,1250,2300,,5000,,200,1,8,2,,,HIGH_EXPLOSIVE,0,,1,12,2,0,10,60,5,,,300,-80,30,1750,"STRIKE, BOMB, SYSTEM, DO_NOT_CONSERVE","he0, no_drop, no_drop_salvage",,United Aurora Federation,,Anti-Station (WMD),,,,,"Unguided super-high yield anti-station bomb that deals a small area of effect damage, effective against slow or immobile targets.",small area of effect | slow targets and stations,,,TRUE,3.5
#OLD for Rafflesya,,,,,2500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AWP Class I,uaf_fw_awp_class_i,3,,1250,500,,6000,,200,1,8,1,,,HIGH_EXPLOSIVE,0,,0.2,12,0,0,10,60,5,,,250,-80,60,1750,"SYSTEM, DO_NOT_CONSERVE","missile1, he1, no_drop, no_drop_salvage",,United Aurora Federation,,Anti-Station (WMD),,,,,"Unguided super-high yield anti-station bomb that deals a small area of effect damage, effective against slow or immobile targets.",small area of effect | slow targets and stations,,,TRUE,3.5
#NEWERNEW for Raffle-chan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AWP Class I,uaf_fw_awp_class_i_revamped,3,,1250,500,,6000,,200,1,8,2,,,HIGH_EXPLOSIVE,0,,0.2,12,1,0.001,10,60,5,,,250,-80,60,1750,"SYSTEM, DO_NOT_CONSERVE","missile1, he1, no_drop, no_drop_salvage",,United Aurora Federation,,Anti-Station (WMD),,,,,"Unguided super-high yield anti-station bomb that deals a small area of effect damage, effective against slow or immobile targets.",small area of effect | slow targets and stations,,,TRUE,3.5
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Minibreve Class I,uaf_fw_minibreve,3,3,25000,1500,,2850,250,150,10,25,1,,,ENERGY,0,,,,1.2,,0,0,0,,,350,100,7.5,400,"STRIKE, SYSTEM, USE_VS_FRIGATES, GROUP_ALTERNATING","strike8, rocket3, no_drop, no_drop_salvage",STRIKE,United Aurora Federation,,Tactical Nuclear Missile (WMD),,,,,"Lower-yield version of the ship-based Semibreve, it only deals single damage burst on much smaller area. Perfect to finish off small to medium targets.",single damage burst | small to medium targets,,,TRUE,9
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ECN Class I,uaf_fw_edge_type_i,1,0,850,500,,25,15,3,45,0,,,,ENERGY,30,,0,4,6,0.185,1,11,-0.5,-0.5,,600,,,20,"SYSTEM, DO_NOT_CONSERVE","energy6, no_drop, no_drop_salvage",,United Aurora Federation,,Disruptive Cannon,,,,,"Suitable against %s and %s, Due to its negative recoil its accuracy increases the longer it fires. It deals %s damage while generating less flux if %s.",armored targets | exposed hull | increased | ship exceeds 50% of its flux capacity,,,,2
ECN Class I (Overload),uaf_fw_edge_type_i_overload,1,0,850,500,,45,100,3,45,0,,,,ENERGY,25,,0,4,6,0.145,1,11,-0.5,-0.5,,800,,,20,"SYSTEM, DO_NOT_CONSERVE","no_drop, no_drop_salvage",,United Aurora Federation,,Disruptive Cannon,,,,,Suitable against armored targets and exposed hull.,armored targets | exposed hull,,,,2
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ECN Class III,uaf_fw_edge_type_iii,1,0,850,750,,55,15,3,45,0,,,,ENERGY,40,,0,0.3,0,0,1,20,-0.5,-0.5,,900,,,20,"SYSTEM, DO_NOT_CONSERVE","energy6, no_drop, no_drop_salvage",,United Aurora Federation,,Disruptive Cannon,,,,,"Suitable against %s and %s, Due to its negative recoil its accuracy increases the longer it fires. It deals %s damage while generating less flux if %s.",armored targets | exposed hull | increased | ship exceeds 50% of its flux capacity,,,,2
ECN Class III (Overload),uaf_fw_edge_type_iii_overload,1,0,850,500,,85,100,3,45,0,,,,ENERGY,35,,0,0.4,0,0,1,11,-0.5,-0.5,,1200,,,20,"SYSTEM, DO_NOT_CONSERVE","no_drop, no_drop_salvage",,United Aurora Federation,,Disruptive Cannon,,,,,Suitable against armored targets and exposed hull.,armored targets | exposed hull,,,,2
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EMG Class I,uaf_fw_merupaka_epd,1,1,500,500,,20,,5,55,0,,,,ENERGY,10,,0,0.75,6,0.05,3,11,1.5,5,,700,,,10,"SYSTEM, DO_NOT_CONSERVE","pd7, energy7, SR, uaf_automata_weapon_bp",,United Aurora Federation,,Point Defense Autocannon,,,,,General purpose. Deals additional 50 fragmentation damage against missiles and strikecraft.,50 fragmentation | missile | strikecraft,,,,0.5
EMG Class II,uaf_fw_merupaka_epd_ii,1,1,500,600,,30,,5,55,0,,,,ENERGY,10,,0,0.75,12,0.05,3,14,1.5,5,,700,,,10,"SYSTEM, DO_NOT_CONSERVE","pd7, energy7, SR, uaf_automata_weapon_bp",,United Aurora Federation,,Point Defense Autocannon,,,,,General purpose. Deals additional 50 fragmentation damage against missiles and strikecraft.,50 fragmentation | missile | strikecraft,,,,0.5
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#RADAR DECORATIVES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eyeseau Radar,uaf_eyeseau_radar,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,SYSTEM,"no_drop, no_drop_salvage, restricted",,United Aurora Federation,,,,,,,,,,,,
